Name , Birth Month , Birth Day , Birth Year , Birth City , Birth State , Dead , Death Date , Age
Amar Singh , December , 4 , 1910 , Rajkot , Gujarat , 1 , May 21 1940 , 30  years 0 days
Sorabji Colah , September , 22 , 1902 , Bombay (now Mumbai) , Maharashtra , 1 , September 11 1950 , 48  years 0 days
Jahangir Khan , February , 1 , 1910 , Basti Ghuzan , Jullundur (now Jalandhar)| Punjab , 1 , July 23 1988 , 78  years 0 days
Lall Singh , December , 16 , 1909 , Kuala Lumpur , Malaya , 1 , November 19 1985 , 76  years 0 days
Naoomal Jeoomal , April , 17 , 1904 , Karachi , Sind , 1 , July 28 1980 , 76  years 0 days
Janardan Navle , December , 7 , 1902 , Fulgaon , Maharashtra , 1 , September 7 1979 , 77  years 0 days
C.K.Nayudu , October , 31 , 1895 , Nagpur , Maharashtra , 1 , November 14 1967 , 72  years 0 days
Nazir Ali , June , 8 , 1906 , Jullundur (now Jalandhar) , Punjab , 1 , February 18 1975 , 69  years 0 days
Mohammad Nissar , August , 1 , 1910 , Hoshiarpur , Punjab , 1 , March 11 1963 , 53  years 0 days
Phiroze Palia , September , 5 , 1910 , Bombay (now Mumbai) , Maharashtra , 1 , September 9 1981 , 71  years 0 days
Syed Wazir Ali , September , 15 , 1903 , Jullundur (now Jalandhar) , Punjab , 1 , June 17 1950 , 47  years 0 days
Lala Amarnath , September , 11 , 1911 , Kapurthala , Punjab , 1 , August 5 2000 , 89  years 0 days
Laxmidas Jai , April , 1 , 1902 , Bombay (now Mumbai) , Maharashtra , 1 , January 29 1968 , 66  years 0 days
Rustomji Jamshedji , November , 18 , 1892 , Bombay (now Mumbai) , Maharashtra , 1 , April 5 1976 , 84  years 0 days
Vijay Merchant , October , 12 , 1911 , Bombay (now Mumbai) , Maharashtra , 1 , October 27 1987 , 76  years 0 days
Ladha Ramji , February , 10 , 1900 , Pidhar , Gujarat , 1 , December 20 1948 , 48  years 0 days
Dilawar Hussain , March , 19 , 1907 , Lahore , Punjab , 1 , August 26 1967 , 60  years 0 days
Morappakam Gopalan , June , 6 , 1909 , Morappakam , Morappakam , 1 , December 21 2003 , 94  years 0 days
Mushtaq Ali , December , 17 , 1914 , Indore , Madhya Pradesh , 1 , June 18 2005 , 91  years 0 days
C.S. Nayudu , April , 18 , 1914 , Nagpur , Maharashtra , 1 , November 22 2002 , 88  years 0 days
Yuvraj of Patiala , January , 17 , 1913 , Patiala , Punjab , 1 , June 17 1974 , 61  years 0 days
Dattaram Hindlekar , January , 1 , 1909 , Bombay (now Mumbai) , Maharashtra , 1 , March 30 1949 , 40  years 0 days
Maharajah of Vizianagram , December , 28 , 1905 , Benares (now Varanasi) , Uttar Pradesh , 1 , December 2 1965 , 60  years 0 days
Khershed Meherhomji , August , 9 , 1911 , Bombay (now Mumbai) , Maharashtra , 1 , February 10 1982 , 71  years 0 days
Cotar Ramaswami , June , 16 , 1896 , Madras (now Chennai) , Madras (now Chennai) , 1 , January 1990 NA , NA  years 0 days
Baqa Jilani , July , 20 , 1911 , Jullundur (now Jalandhar) , Punjab , 1 , July 2 1941 , 30  years 0 days
Gul Mohammad , October , 15 , 1921 , Lahore , Punjab , 1 , May 8 1992 , 71  years 0 days
Vijay Hazare , March , 11 , 1915 , Sangli , Maharashtra , 1 , December 18 2004 , 89  years 0 days
Abdul Kardar , January , 17 , 1925 , Lahore , Punjab , 1 , April 21 1996 , 71  years 0 days
Vinoo Mankad , April , 12 , 1917 , Jamnagar , Gujarat , 1 , August 21 1978 , 61  years 0 days
